,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
123,mali,মালি,190,13,34,0,0,19,2020-04-18 07:18:02,17.35763931274414,-3.524878978729248,world
124,faroeislands,ফারো আইল্যান্ডস,184,0,171,5,0,0,2020-04-18 07:18:02,62.134979248046875,-7.01463508605957,world
125,jamaica,জামাইকা,163,5,25,4,0,20,2020-04-18 07:18:02,18.236000061035156,-77.36399841308594,world
126,martinique,মার্টিনিক,158,8,73,0,0,0,2020-04-18 07:18:02,14.653226852416992,-61.01868438720703,world
127,tanzania,তাঞ্জানিয়া,147,5,11,0,1,53,2020-04-18 07:18:02,-6.267545223236084,34.81095886230469,world
128,guadeloupe,গুয়াদেলৌপ,145,10,68,0,0,0,2020-04-18 07:18:02,16.25,-61.58333206176758,world
129,rwanda,রুয়ান্ডা,143,0,65,5,0,5,2020-04-18 07:18:02,-1.9999899864196777,29.92605972290039,world
130,congo,কঙ্গো,143,6,11,0,1,26,2020-04-18 07:18:02,-0.8273400068283081,15.241456985473633,world
131,guam,গুয়াম,136,5,97,31,0,1,2020-04-18 07:18:02,13.443708419799805,144.77774047851562,world
132,brunei,ব্রুনেই,136,1,112,4,0,0,2020-04-18 07:18:02,4.4969048500061035,114.6308364868164,world
133,gibraltar,জিব্রাল্টার,132,0,111,6,0,0,2020-04-18 07:18:02,36.13597106933594,-5.348627090454102,world
134,cambodia,কম্বোডিয়া,122,0,103,5,0,0,2020-04-18 07:18:02,12.710771560668945,104.91678619384766,world
135,madagascar,মাদাগাস্কার,117,0,33,13,0,7,2020-04-18 07:18:02,-19.382877349853516,46.69585037231445,world
136,somalia,সোমালিয়া,116,5,2,0,0,36,2020-04-18 07:18:02,6.533645153045654,48.076171875,world
137,trinidadandtobago,ত্রিনিদাদ অ্যান্ড টোবাগো,114,8,20,1,0,0,2020-04-18 07:18:02,10.423745155334473,-61.296531677246094,world
138,gabon,গ্যাবন,108,1,7,2,0,28,2020-04-18 07:18:02,-0.6238250136375427,11.781533241271973,world
139,aruba,আরুবা,96,2,43,4,1,3,2020-04-18 07:18:02,12.509138107299805,-69.9704360961914,world
140,ethiopia,ইথিওপিয়া,96,3,15,0,0,4,2020-04-18 07:18:02,8.62248420715332,39.63431167602539,world
141,frenchguiana,ফরাসী গায়ানা,96,0,64,3,0,0,2020-04-18 07:18:02,3.9815070629119873,-53.19322967529297,world
142,myanmar,মায়ানমার,94,5,2,0,1,9,2020-04-18 07:18:02,21.18514633178711,96.51920318603516,world
143,monaco,মোনাকো,94,3,20,8,0,1,2020-04-18 07:18:02,43.736305236816406,7.423314094543457,world
144,bermuda,বারমুডা,83,5,35,2,0,2,2020-04-18 07:18:02,32.39096450805664,-64.67505645751953,world
145,togo,টোগো,83,5,48,13,2,2,2020-04-18 07:18:02,8.530759811401367,0.976809024810791,world
146,liechtenstein,লিচেনস্টাইন,80,1,55,0,0,0,2020-04-18 07:18:02,47.14126968383789,9.552783012390137,world
147,equatorialguinea,নিরক্ষীয় গিনি,79,0,4,0,0,28,2020-04-18 07:18:02,1.5670069456100464,10.465889930725098,world
148,liberia,লাইবেরিয়া,76,7,7,4,2,26,2020-04-18 07:18:02,6.447522163391113,-9.311179161071777,world
149,barbados,বারবাদোস,75,5,15,0,0,0,2020-04-18 07:18:02,13.172222137451172,-59.55642318725586,world
150,guyana,গিয়ানা,63,6,9,1,0,6,2020-04-18 07:18:02,4.978387832641602,-59.08845520019531,world
151,caymanislands,কেম্যান দ্বীপপুঞ্জ,61,1,7,1,0,1,2020-04-18 07:18:02,19.318519592285156,-81.24376678466797,world
